id,book_id,chapter_number,verse_number,verse_text
1,1,1,1,"In the beginning, God created the heavens and the earth."
2,2,14,14,"The Lord will fight for you, and you have only to be silent.”"
3,3,19,18,"You shall not take vengeance or bear a grudge against the sons of your own people, but you shall love your neighbor as yourself: I am the Lord."
4,4,6,24,The Lord bless you and keep you;
5,5,31,6,"Be strong and courageous. Do not fear or be in dread of them, for it is the Lord your God who goes with you. He will not leave you or forsake you.”"
6,6,1,9," Have I not commanded you? Be strong and courageous. Do not be frightened, and do not be dismayed, for the Lord your God is with you wherever you go.”"
7,7,21,25, In those days there was no king in Israel. Everyone did what was right in his own eyes.
8,8,1,16,"But Ruth said, “Do not urge me to leave you or to return from following you. For where you go I will go, and where you lodge I will lodge. Your people shall be my people, and your God my God."
9,9,16,7,"But the Lord said to Samuel, “Do not look on his appearance or on the height of his stature, because I have rejected him. For the Lord sees not as man sees: man looks on the outward appearance, but the Lord looks on the heart.”"
10,10,22,31,This God—his way is perfect; the word of the Lord proves true; he is a shield for all those who take refuge in him.
11,11,18,21,"And Elijah came near to all the people and said, “How long will you go limping between two different opinions? If the Lord is God, follow him; but if Baal, then follow him.” And the people did not answer him a word."
12,12,6,16,"He said, “Do not be afraid, for those who are with us are more than those who are with them.”"
13,13,16,34,"Oh give thanks to the Lord, for he is good; for his steadfast love endures forever!"
14,14,7,14,"if my people who are called by my name humble themselves, and pray and seek my face and turn from their wicked ways, then I will hear from heaven and will forgive their sin and heal their land."
15,15,7,10," For Ezra had set his heart to study the Law of the Lord, and to do it and to teach his statutes and rules in Israel."
16,16,8,10,"Then he said to them, “Go your way. Eat the fat and drink sweet wine and send portions to anyone who has nothing ready, for this day is holy to our Lord. And do not be grieved, for the joy of the Lord is your strength.”"
17,17,4,14," For if you keep silent at this time, relief and deliverance will rise for the Jews from another place, but you and your father's house will perish. And who knows whether you have not come to the kingdom for such a time as this?”"
18,18,19,25,"For I know that my Redeemer lives, and at the last he will stand upon the earth."
19,19,23,1,The Lord is my shepherd; I shall not want.
20,20,3,5,"Trust in the Lord with all your heart, and do not lean on your own understanding."
21,21,3,1," For everything there is a season, and a time for every matter under heaven:"
22,22,8,7,"Many waters cannot quench love, neither can floods drown it. If a man offered for love all the wealth of his house, he would be utterly despised."
23,23,40,31,but they who wait for the Lord shall renew their strength; they shall mount up with wings like eagles; they shall run and not be weary; they shall walk and not faint.
24,24,29,11,"For I know the plans I have for you, declares the Lord, plans for welfare and not for evil, to give you a future and a hope."
25,25,3,22,The steadfast love of the Lord never ceases; his mercies never come to an end; 23 they are new every morning; great is your faithfulness.
26,26,36,26,"And I will give you a new heart, and a new spirit I will put within you. And I will remove the heart of stone from your flesh and give you a heart of flesh."
27,27,3,17," If this be so, our God whom we serve is able to deliver us from the burning fiery furnace, and he will deliver us out of your hand, O king."
28,28,6,6,"For I desire steadfast love and not sacrifice, the knowledge of God rather than burnt offerings."
29,29,2,28,"“And it shall come to pass afterward, that I will pour out my Spirit on all flesh; your sons and your daughters shall prophesy, your old men shall dream dreams, and your young men shall see visions."
30,30,5,24,"But let justice roll down like waters, and righteousness like an ever-flowing stream."
31,31,1,15,"For the day of the Lord is near upon all the nations. As you have done, it shall be done to you; your deeds shall return on your own head."
32,32,2,9,But I with the voice of thanksgiving will sacrifice to you; what I have vowed I will pay. Salvation belongs to the Lord!”
33,33,6,8,"He has told you, O man, what is good; and what does the Lord require of you but to do justice, and to love kindness, and to walk humbly with your God?"
34,34,1,7,"The Lord is good, a stronghold in the day of trouble; he knows those who take refuge in him."
35,35,3,19,"God, the Lord, is my strength; he makes my feet like the deer's; he makes me tread on my high places. To the choirmaster: with stringed[a] instruments."
36,36,3,17,"The Lord your God is in your midst, a mighty one who will save; he will rejoice over you with gladness; he will quiet you by his love; he will exult over you with loud singing."
37,37,1,5,"Now, therefore, thus says the Lord of hosts: Consider your ways."
38,38,4,6," Then he said to me, “This is the word of the Lord to Zerubbabel: Not by might, nor by power, but by my Spirit, says the Lord of hosts."
39,39,3,10,"Bring the full tithe into the storehouse, that there may be food in my house. And thereby put me to the test, says the Lord of hosts, if I will not open the windows of heaven for you and pour down for you a blessing until there is no more need."
40,40,5,16,"In the same way, let your light shine before others, so that they may see your good works and give glory to your Father who is in heaven."
41,41,10,45," For even the Son of Man came not to be served but to serve, and to give his life as a ransom for many.”"
42,42,1,37,For nothing will be impossible with God.”
43,43,3,16,"“For God so loved the world, that he gave his only Son, that whoever believes in him should not perish but have eternal life."
44,44,1,8,"But you will receive power when the Holy Spirit has come upon you, and you will be my witnesses in Jerusalem and in all Judea and Samaria, and to the end of the earth.”"
45,45,8,28,"And we know that for those who love God all things work together for good,[a] for those who are called according to his purpose."
46,46,13,13,"So now faith, hope, and love abide, these three; but the greatest of these is love."
47,47,5,7,"for we walk by faith, not by sight."
48,48,2,20," I have been crucified with Christ. It is no longer I who live, but Christ who lives in me. And the life I now live in the flesh I live by faith in the Son of God, who loved me and gave himself for me."
49,49,2,8,"For by grace you have been saved through faith. And this is not your own doing; it is the gift of God,"
50,50,4,13,I can do all things through him who strengthens me.
51,51,3,23,"Whatever you do, work heartily, as for the Lord and not for men,"
52,52,5,16,"Rejoice always, 17 pray without ceasing, 18 give thanks in all circumstances; for this is the will of God in Christ Jesus for you."
53,53,3,3,But the Lord is faithful. He will establish you and guard you against the evil one.
54,54,4,12,"Let no one despise you for your youth, but set the believers an example in speech, in conduct, in love, in faith, in purity."
55,55,1,7,for God gave us a spirit not of fear but of power and love and self-control.
56,56,2,11," For the grace of God has appeared, bringing salvation for all people,"
57,57,1,6,and I pray that the sharing of your faith may become effective for the full knowledge of every good thing that is in us for the sake of Christ.
58,58,11,1,"Now faith is the assurance of things hoped for, the conviction of things not seen."
59,59,1,22," But be doers of the word, and not hearers only, deceiving yourselves."
60,60,5,7,"casting all your anxieties on him, because he cares for you."
61,61,3,9,"The Lord is not slow to fulfill his promise as some count slowness, but is patient toward you, not wishing that any should perish, but that all should reach repentance."
62,62,4,8,"Anyone who does not love does not know God, because God is love."
63,63,1,6,"And this is love, that we walk according to his commandments; this is the commandment, just as you have heard from the beginning, so that you should walk in it."
64,64,1,4,I have no greater joy than to hear that my children are walking in the truth.
65,65,1,24,"Now to him who is able to keep you from stumbling and to present you blameless before the presence of his glory with great joy,"
66,66,21,4,"He will wipe away every tear from their eyes, and death shall be no more, neither shall there be mourning, nor crying, nor pain anymore, for the former things have passed away.”"
