id,book_name,description,book_id,book_collection_order_index,short_name
1,Genesis,Genesis answers two big questions: “How did God’s relationship with the world begin?” and “Where did the nation of Israel come from?”,1,1,Gen
2,Exodus,"God saves Israel from slavery in Egypt, and then enters into a special relationship with them.",2,1,Exod
3,Leviticus,God gives Israel instructions for how to worship Him.,3,1,Lev
4,Numbers,"Israel fails to trust and obey God, and wanders in the wilderness for 40 years.",4,1,Num
5,Deuteronomy,"Moses gives Israel instructions (in some ways, a recap of the laws in Exodus–Numbers) for how to love and obey God in the Promised Land.",5,1,Deut
6,Joshua,"Joshua (Israel’s new leader) leads Israel to conquer the Promised land, then parcels out territories to the twelve tribes of Israel.",6,2,Josh
7,Judges,"Israel enters a cycle of turning from God, falling captive to oppressive nations, calling out to God, and being rescued by leaders God sends their way (called “judges”).",7,2,Judg
8,Ruth,"Two widows lose everything, and find hope in Israel—which leads to the birth of the future King David.",8,2,Ruth
9,1 Samuel,"Israel demands a king, who turns out to be quite a disappointment.",9,2,1Sam
10,2 Samuel,"David, a man after God’s own heart, becomes king of Israel.",10,2,2Sam
11,1 Kings,"The kingdom of Israel has a time of peace and prosperity under King Solomon, but afterward splits, and the two lines of kings turn away from God.",11,2,1Kgs
12,2 Kings,"Both kingdoms ignore God and his prophets, until they both fall captive to other world empires.",12,2,2Kgs
13,1 Chronicles,"This is a brief history of Israel from Adam to David, culminating with David commissioning the temple of God in Jerusalem.",13,2,1Chr
14,2 Chronicles,"David’s son Solomon builds the temple, but after centuries of rejecting God, the Babylonians take the southern Israelites captive and destroy the temple.",14,2,2Chr
15,Ezra,"The Israelites rebuild the temple in Jerusalem, and a scribe named Ezra teaches the people to once again obey God’s laws.",15,2,Ezra
16,Nehemiah,"The city of Jerusalem is in bad shape, so Nehemiah rebuilds the wall around the city.",16,2,Neh
17,Esther,"Someone hatches a genocidal plot to bring about Israel’s extinction, and Esther must face the emperor to ask for help.",17,2,Esth
18,Job,"Satan attacks a righteous man named Job, and Job and his friends argue about why terrible things are happening to him.",18,3,Job
19,Psalms,A collection of 150 songs that Israel sang to God (and to each other)—kind of like a hymnal for the ancient Israelites.,19,3,Ps
20,Proverbs,A collection of sayings written to help people make wise decisions that bring about justice.,20,3,Prov
21,Ecclesiastes,A philosophical exploration of the meaning of life—with a surprisingly nihilistic tone for the Bible.,21,3,Eccl
22,Song of Solomon,"A love song (or collection of love songs) celebrating love, desire, and marriage.",22,3,Song
23,Isaiah,God sends the prophet Isaiah to warn Israel of future judgment—but also to tell them about a coming king and servant who will “bear the sins of many.”,23,4,Isa
24,Jeremiah,"God sends a prophet to warn Israel about the coming Babylonian captivity, but the people don’t take the news very well.",24,4,Jer
25,Lamentations,A collection of dirges lamenting the fall of Jerusalem after the Babylonian attacks.,25,4,Lam
